Population,Amerindian,Arabian,Armenian,Basque,Central_African,Central_Euro,East_African,East_Asian,East_Balkan,East_Central_Asian,East_Central_Euro,East_Med,Eastern_Euro,Fennoscandian,French,Iberian,IndoChinese,Italian,Malayan,Near_Eastern,North_African,North_Atlantic,North_Caucasian,North_Sea,Northeast_African,Oceanian,Omotic,Pygmy,Siberian,South_Asian,South_Central_Asian,South_Chinese,VolgaUral,West_African,West_Caucasian,WestMed
Samaritan,0,15.738,8.133,0,0,0,0,0,0.018,0,0,25.85,0,0,0,1.085,0,8.528,0,28.88,2.6,0,0.818,0,0.305,0,0,0,0,0,0,0,0,0,3.548,4.488
Assyrian,0,8.899,14.271,0.032,0,0.038,0,0,0.854,0,0.055,24.224,0,0,0,0.091,0,6.271,0,19.059,0,0,11.589,0,0,0,0,0,0,0,5.38,0,0,0,7.731,1.504
Jordan,0.02,13.87,3.49,0,0.07,0.644,0.014,0.112,0.716,0,0,16.804,0.26,0,0,2.792,0,10.116,0.016,24.17,2.922,0.162,3.076,0.134,9.12,0.04,0.052,0,0,0.062,4.29,0,0,1.066,4.732,1.224
Georgian_East,0,0.05,9.03,0,0,1.25,0,0.04,1.01,0.57,0,8.79,0.31,0.44,2.2,0.47,0,4.23,0,9.05,0.02,0.3,33.6,0.28,0,0,0,0,0.8,0.28,5.05,0.22,0,0,21.8,0.21
Georgian_Svan,0,0.07,10.02,0,0,0.12,0,0,0.12,0,0,8.37,0,0,0,0.02,0,1.01,0.05,4.69,0.02,0.4,37.93,0.03,0,0,0,0,0,0,2.68,0,0,0,34.47,0
Georgian_West,0,0,12.75,0.02,0,0.04,0,0,0.41,0,0,10.75,0,0,0.01,0,0,3.16,0,6.65,0.02,0.01,34.25,0,0,0,0,0,0,0,0.32,0,0,0,31.37,0.24
Georgian_Imereti,0,1.185,10.563,0.103,0,0,0,0,0.185,0,0,11.79,0,0,0,0,0,3.775,0,8.468,0,0.038,30.818,0,0,0.053,0,0,0,0,1.775,0,0,0,30.843,0.405
Georgian_Laz,0,1.091,15.444,0.083,0,0.186,0,0,1.351,0,0.068,17.87,0,0,0,0.089,0,7.198,0,9.533,0,0.015,22.425,0,0,0,0,0,0,0,0.399,0,0,0,22.687,1.542
Abhkasian,0.11,0.85,7.75,0,0.07,1.72,0,0.01,2.48,0,0,7.58,0.69,0.13,0.09,0.01,0.25,2.62,0,4.23,0,0.01,35.25,0.2,0,0.07,0,0,0,0.18,4.89,0.04,0.13,0,30.14,0.5
Balkar,0.34,0.33,4.08,0.4,0,2.62,0,0.21,0.72,1.39,1.52,7.48,1.92,0.87,0.63,0.06,0,1.92,0.06,2.02,0.02,1.72,42.48,2.68,0,0.07,0,0,1.71,0,5.96,0.51,1.01,0,17.19,0.08
Chechen,0.21,0.52,6.01,0.03,0,0.91,0,0,1.65,0,1.26,2.22,1.73,1.04,0.87,0.01,0,2.31,0,1.85,0.02,1.77,56.27,2.68,0,0,0,0,0.02,0,8.45,0,0.87,0,9.3,0
Karachay,0.05,0.16,5.77,0.31,0,1.82,0,0.04,1.05,0.57,1.87,0.91,0.37,1.84,1.56,0.1,0,5.99,0.04,4.44,0.02,0.78,38.88,0.47,0,0.05,0.22,0,2.9,0.28,8.49,0.22,1.23,0,19.5,0.07
Kabardinian,0.1,0.6,6.04,0.82,0,2.02,0,0.46,1.11,0.85,1.99,5.18,1.15,2.33,0.93,0,0.35,4.05,0,3.23,0,0.97,36.82,1.95,0,0,0,0,2.52,0,6.84,0.02,2.63,0,17.04,0
North_Dagestan,0,0,2.71,0,0,4.1,0,0,0,0,5.14,0,0,4.59,2.09,0,0,0,0,0,0,3.5,49.63,6.41,0,0,0,0,0,0,14.18,0,0,0,7.66,0
Tabassaran,0.74,0.05,7.48,0,0,3.34,0,0,1.35,0,3.09,0.68,2.34,1.8,3.28,0,0,0.2,0,1.79,0,2.31,41.85,4.71,0,0,0,0.21,0,0,16.27,0,1.07,0.08,7.36,0
Kumyk,0.56,0.75,4.63,0.26,0,1.44,0,0.07,1.86,0.01,3.91,5.98,2.53,3.14,0.73,1.47,0,1.77,0,2.85,0,2.65,39.18,2.07,0,0,0.04,0,1.55,0,13.03,0,1.47,0,8.05,0
Ossetian,0.02,0.21,5.71,0.2,0,0.36,0,0.06,2.24,0.83,0.38,4.79,1.28,1.36,1.04,0.38,0.2,4.02,0,3.43,0.02,0.41,46.1,0.99,0,0.32,0,0,1.39,0.16,6.66,0.06,0.28,0.05,16.49,0.56
Armenian,0,2.42,12.3,0.62,0,0.89,0,0,2.12,0,0.43,22.07,0,0,0,0.48,0,4.67,0,13.95,0.02,0.15,19.08,0,0,0,0,0,0,0,11.81,0,0,0,8.95,0.04
Azeri,0.172,4.434,10.0705,0.162,0,0.547,0,0.984,1.5825,0.7865,0.3395,13.7595,0.5065,0.24,0.4905,0.365,0.1045,4.9095,0.0925,13.7125,0.048,0.5665,19.068,0.2935,0,0.0775,0,0.0145,0.978,0.207,16.7545,0.1485,0.571,0,7.4925,0.498
Azeri_Igdir,0,0.75,9.865,0,0,3.995,0,0.51,0.725,1.135,0.215,14.275,0.935,0,0.21,1.73,0,2.96,0,18.39,0.46,0,13.58,0.155,0,0.095,0,0,2.43,2.045,13.995,0,0.935,0,8.66,1.93
Azeri_Dagestan,0.12,0.9125,8.58,0.19,0,0.2275,0,0,2.3575,0,1.9475,11.6625,2.08,0.5175,0.04,0.08,0,3.5575,0,5.115,0.0975,1.6425,31.96,1.595,0,0,0,0,0.45,0,16.49,0.185,0.48,0,9.715,0
Kurd,0.086,3.86,10.578,0.195,0,0.62,0,0,1.407,0,0.205,16.891,0.107,0,0.159,0.059,0,5.868,0,14.6,0,0.271,17.683,0.356,0,0.011,0,0,0.02,0.035,17.899,0,0.006,0,8.424,0.649
Turkish_Anatolia,0.22,3.61,10.28,0.36,0,1.06,0,0.81,3.17,2.78,0.45,15.7,1.75,0.06,0.2,0.46,0.34,9.27,0.29,11.33,0.02,0.77,17.12,0.55,0,0.05,0,0,3.09,0.2,6.25,0.28,0.33,0,7.59,1.61
Turkey_average,0.117,2.128,9.253,0.067,0,0.856,0,0.516,1.939,1.49,1.345,15.809,0.545,0.434,1.314,1.393,0.173,9.853,0.058,12.214,0.326,0.242,16.164,0.882,0.053,0.163,0,0,1.784,0.175,7.296,0.026,0.504,0,10.324,1.358
BLG_Turk,0.286,1.17,4.523,1.183,0,3.58,0,0.931,7.231,0.398,8.438,9.583,7.199,5.131,2.345,6.816,0.179,14.016,0.238,5.419,0.24,2.461,6.466,2.399,0,0.143,0,0,1.326,0.054,1.639,0.32,1.226,0,2.531,2.403
Iraqi_Jews,0,11.022,12.15,0,0,0.512,0,0,0.026,0,0,26.034,0,0,0.104,0,0,5.37,0,23.018,0.054,0,8.43,0,0.15,0,0,0,0,0,6.298,0,0,0,4.942,1.88
Caucasus_Jews,0,5.8425,11.03166667,0.230833333,0,1.064166667,0,0,1.355,0,0.5325,18.74,0.083333333,0.310833333,0.433333333,0.186666667,0,9.0125,0,15.7275,0.098333333,0,17.48666667,0,0,0,0,0,0,0.095,5.3925,0,0,0,11.56666667,0.8025
Azeri_Jews,0,7.93,11.7725,0.6675,0,0.145,0,0,0.3275,0,0,20.025,0,0,0,0,0,8.1675,0,20.4,0.23,0,13.8775,0,0,0,0,0,0,0,6.6925,0,0,0,8.4975,1.26
Askhenazi,0.060606061,6.094848485,5.59969697,1.012121212,0,2.549090909,0,0.082424242,3.934848485,0.072727273,2.063636364,15.95272727,0.633030303,0.67,3.349090909,9.534242424,0.046363636,16.34636364,0.032424242,13.31757576,2.395454546,2.344848485,4.082424242,1.72969697,0.371818182,0.087878788,0,0,0.08030303,0.111818182,0.384848485,0.011818182,0.43,0,2.743333333,3.85969697
Ashkenazi_Eastern_Euro,0.14,4.24,6.86,1.06,0,2.87,0,0.19,4.04,0.16,2.77,15.93,1.49,1.09,3.63,8.11,0.13,15.59,0.23,13.88,2.42,1.79,3.44,2.23,0.47,0.12,0,0,0.21,0.02,0.43,0.05,0.8,0,2.72,2.89
Sephardi_Jews,0,8.976153846,6.682307692,0.893846154,0,0.535384615,0,0.008461539,2.783076923,0,0.083076923,18.82846154,0.049230769,0.102307692,1.216923077,9.953076923,0.034615385,13.86230769,0,17.51153846,6.010769231,0.602307692,1.660769231,0.36,2.187692308,0.024615385,0,0,0,0.016153846,0.113076923,0,0.062307692,0,2.133846154,5.298461539
Cyprus,0,5.439285714,7.671428571,0.602142857,0,0.152857143,0,0,3.589285714,0,0.026428571,25.025,0,0,1.057142857,3.399285714,0,16.19785714,0.015,19.00857143,0.314285714,0.064285714,5.370714286,0.019285714,0.048571429,0,0,0,0,0.120714286,0.075714286,0,0,0,6.044285714,5.745714286
Greek_Azov,0.17,2.18,7.78,1.07,0,2.89,0,0.05,5.04,0.27,3.12,12.45,4.05,1.36,2.18,4.09,0.04,15.47,0.04,9.23,0.02,1.9,12.8,0.26,0,0.04,0,0,0.02,0.03,3.24,0,1.33,0,6.92,1.96
GR_Istanbul,0,3.4,8.34,0.16,0,4.93,0,0,7.87,0,5.1,11.09,1.56,3.15,2.94,5.04,0,20.14,0,4.82,0,5.09,6.38,1.26,0,0,0,0,0,0,0,0,0.65,0,6.03,2.07
GR_Pontic,0,1.636363636,14.55363636,0.486363636,0,0.303636364,0,0,2.394545455,0,0.385454546,21.23272727,0.497272727,0,0.651818182,0.724545455,0,12.98636364,0,12.83090909,0,0.246363636,14.38727273,0,0,0,0,0,0,0,0.068181818,0,0,0,14.26272727,2.347272727
GR_Crete,0,5.374,5.918,0.358,0,1.312,0,0,6.396,0,0.81,17.376,0.308,0.488,3.584,5.962,0,20.13,0,13.25,0.588,1.048,6.136,1.18,0,0.05,0,0,0,0,0,0,0.268,0,4.434,5.026
GR_Cyclades,0,2.362,7.298,1.677,0,4.162,0,0,4.563,0,2.652,14.012,1.635,1.59,2.775,5.802,0,21.507,0,10.912,0.043,2.335,8.318,0.867,0,0,0,0,0,0,0.572,0,0,0,2.965,3.952
GR_Dodecanes,0.098,3.628,6.224,0.866,0,1.782,0,0,5.282,0,0.658,21.136,0.028,0.156,0.646,8.56,0,18.898,0,12.784,0.142,0.606,6.742,0.238,0,0,0,0,0,0.092,0.028,0,0,0,6.476,4.91
Gr_Kalymnos,0,3.57,8.693,0.488,0,3.513,0,0,5.49,0,1.688,17.3,0.133,0.195,0.685,7.995,0,21.358,0,11.993,0.018,0.518,6.68,0.053,0,0,0,0,0,0,0.035,0,0,0,4.255,5.328
GR_Ikaria,0,3.688,5.518,1.535,0,2.188,0,0,6.353,0,0.718,18.825,0.628,0,2.75,6.415,0,19.19,0,12.783,0.263,0.028,5.023,1.743,0,0,0,0,0,0,0,0,0.333,0,5.665,6.358
Gr_Chios,0,3.328,7.524,1.569,0,2.658,0,0,6.307,0,1.848,18.02,1.202,0.183,1.498,7.14,0,19.175,0,10.98,0.49,0.642,5.595,0.979,0,0.009,0,0,0,0,0.108,0,0.013,0,5.441,5.275
GR_Kythera,0,2.425,6.59,0,0,2.01,0,0,6.61,0,0.185,15.27,0.075,0,4.035,8.17,0,21.605,0,12.915,0.88,0.295,6.05,1.73,0,0,0,0,0,0,0,0,0,0,4.645,6.5
Gr_Andros,0.245,2.375,4.81,0.7,0,1.29,0,0,7.418,0.17,1.598,17.708,0.395,0,3.343,8.355,0,20.455,0,10.58,2.253,2.008,2.605,4.143,0,0.13,0,0,0,0,0,0,0,0,5.32,4.083
Gr_Eubea,0,1.36,5.975,0.68,0,5.21,0,0,7.555,0,4.58,10.05,2.835,0.4,3.485,10.705,0,20.33,0,9.48,0.335,2.975,3.605,1.21,0,0,0,0,0,0,0,0,0.795,0,1.86,6.585
GR_Thrace,0,0.43,8.12,2.96,0,8.31,0,0,7.01,0,6.29,10.62,0.1,0,1.44,5.81,0,16.68,0,8.64,0,2.6,4.9,6.46,0,0,0,0,0,0,0,0,0,0,4.87,4.76
GR_Central,0,3.575,4.18,1.395,0.105,3.555,0,0,10.48,0,3.935,14,2.03,2.31,4.965,9.2,0,14.925,0.165,3.83,0,0.115,5.555,5.46,0,0.05,0,0,0,0,0,0,0,0,2.655,7.515
Greek_Macedonia,0.021,1.888,5.264,1.531,0,3.58,0,0,8.939,0,7.364,11.416,3.805,1.493,2.919,8.178,0,17.248,0,6.695,0.068,2.26,5.485,3.546,0,0.025,0,0,0,0,0.005,0,0.175,0,3.125,4.965
Greek_Peloponnes,0.064,2.829,4.779,0.683,0,4.059,0,0,7.871,0,5.188,13.37,2.601,1.155,2.78,9.229,0,20.221,0,7.438,0.068,2.339,4.639,2.69,0,0.035,0,0,0,0,0,0,0.226,0,2.576,5.163
Malta,0.043,6.093,4.487,1.071,0,1.102,0.043,0,4.656,0.026,0.361,16.394,0.182,0.072,1.395,11.024,0,19.481,0,10.825,4.164,2.396,3.982,1.187,0.378,0,0.308,0,0,0,0,0,0.04,0.169,3.514,6.581
Sicily_Messina,0,3.759,5.466,1.131,0,1.669,0,0.005,4.504,0,0.851,15.992,0.195,0,1.638,10.96,0,19.681,0,15.927,2.851,0.815,3.078,1.163,0.162,0.012,0.027,0.006,0,0,0.11,0,0.003,0,3.99,5.998
Sicily_Catania,0.028,3.642,4.102,0.981,0.042,1.825,0.011,0,4.789,0,0.203,17.104,0.225,0,1.832,10.261,0,21.195,0.007,13.384,2.495,0.976,4.414,1.205,0.303,0.06,0.056,0,0,0.076,0.216,0,0.047,0,4.402,6.119
Sicily_Trapani,0.006,3.409,5.169,1.548,0,1.855,0,0,3.997,0,0.813,15.117,0.226,0.091,3.115,10.921,0,21.365,0.023,12.952,2.514,1.962,3.093,2.463,0.155,0.006,0.033,0.015,0.024,0.025,0,0,0.068,0,2.962,6.063
Sicily_Ragusa,0,3.895,4.3775,1.1225,0,2.375,0.1025,0,4.735,0,1.8775,15.805,0.165,0,2.1775,8.8075,0,21.46,0,13.975,2.1875,1.5225,2.67,2.33,0.1625,0.1,0,0.1325,0,0,0.37,0,0.15,0.3,3.4425,5.755
Sicily_Agrigento,0.072,5.338,5.752,1.518,0,2.02,0.148,0,4.282,0,0.99,14.272,0.342,0,2.755,10.378,0.025,20.292,0,13.837,2.383,1.288,3.187,1.178,0,0.043,0,0,0,0.698,0.72,0,0.265,0.112,1.83,6.27
Sicily_Palermo,0.006,3.835,5.26,1.489,0,1.889,0.032,0,3.494,0,0.66,15.422,0.202,0.386,2.875,10.77,0,20.273,0.004,13.03,3.125,1.219,3.33,2.25,0.228,0.029,0.02,0.024,0,0.056,0.016,0,0.119,0.012,4.111,5.827
Sicily_Caltanisetta,0,3.919,5.534,1.102,0,2.848,0,0,4.077,0,0.527,15.284,0.116,0.198,2.293,10.95,0,19.05,0,14.546,2.422,1.69,3.312,2.164,0.254,0.13,0,0,0,0,0.16,0,0.007,0,3.511,5.899
IT_Calabria,0,4.064,6.351,0.884,0,1.361,0,0,5.468,0,0.604,16.589,0.214,0,2.448,9.015,0,21.485,0,12.995,2.007,0.455,3.818,1.142,0.056,0.008,0,0,0,0,0,0,0,0,4.404,6.626
IT_Campania,0,2.264,6.019,1.246,0,1.913,0,0,5.11,0,0.476,16.583,0.05,0.09,2.554,11.346,0,23.023,0,13.303,0.923,2.079,2.804,0.866,0,0,0,0,0,0.013,0.103,0,0.056,0,3.876,5.309
IT_Apulia,0.061666667,3.041666667,5.13,1.426666667,0,1.911666667,0,0,5.786666667,0,1.513333333,14.84,0.601666667,0,3.163333333,10.10833333,0,22.225,0,11.56833333,0.515,3.263333333,4.783333333,0.191666667,0,0.296666667,0,0,0,0.08,0,0,0.01,0,4.09,5.391666667
IT_Abruzzo,0,2.79,4.833333333,1.946666667,0,2.79,0,0,4.673333333,0,1.79,13.60666667,0,0,2.543333333,11.77,0,24.12666667,0,10.41666667,0.333333333,1.466666667,4.246666667,2.41,0,0,0,0,0,0,0,0,0.093333333,0,4.573333333,5.593333333
IT_Lazio,0,2.314,4.538,2.332,0,3.32,0,0,4.28,0,0.396,12.138,0.118,0.544,2.908,15.282,0,24.81,0,7.708,0.992,3.888,2.562,2.034,0,0,0,0,0,0,0,0,0,0,2.21,7.622
IT_Marche,0.11,1.705,3.8425,1.1775,0,3.0075,0,0,5.88,0,0.255,11.605,1.185,0.215,5.315,13.785,0,22.9425,0,6.055,0.505,2.3825,1.3725,8.1525,0,0.0525,0,0,0,0,0.25,0,0.14,0,2.69,7.355
IT_Tuscany,0.011,1.677,3.293,2.062,0,2.991,0,0,3.502,0,1.925,9.385,0.674,0.241,5.236,14.947,0.008,26.351,0,4.206,0.647,4.885,1.703,6.629,0,0.06,0,0,0,0,0.005,0.034,0.138,0,2.496,6.886
IT_Piedmont,0,0.396666667,2.026666667,3.51,0,3.946666667,0,0,4.616666667,0,5.34,3.716666667,0.086666667,4.126666667,4.57,17.74333333,0,20.76,0,3.16,0.37,6.576666667,2.17,8.286666667,0,0,0,0,0,0,0,0,0.416666667,0,0.803333333,7.37
IT_North,0,0.367692308,2.865384615,2.301538462,0,3.423076923,0,0,4.425384615,0,3.457692308,6.496153846,1.403846154,1.434615385,5.156923077,17.35769231,0,24.70307692,0,2.408461539,0.263076923,5.862307692,1.776923077,8.516923077,0,0.010769231,0,0,0,0,0,0,0.220769231,0,0.962307692,6.587692308
IT_Veneto,0.006428571,0.201428571,2.152857143,3.011428571,0,4.82,0,0,5.36,0,6.152857143,4.372142857,2.512142857,3.239285714,4.947857143,12.85214286,0,20.455,0,3.135,0.065,7.987142857,0.459285714,8.917857143,0,0.008571429,0,0,0,0.077857143,0,0,0.554285714,0,2.776428571,5.93
IT_Friuli,0.015,1.255,1.457,1.383,0,5.012,0,0,6.217,0,6.205,7.387,3.663,3.138,4.538,14.488,0,19.835,0,2.727,0.532,7.438,1.42,7.23,0,0,0,0,0,0,0,0,0.26,0,1.045,4.742
IT_Aosta,0.021,0.248,1.318,3.878,0,4.649,0,0,3.582,0,2.959,4.212,1.554,2.255,5.858,18.732,0,21.646,0,1.061,0.023,8.134,1.597,12.419,0.028,0.072,0.059,0,0,0.054,0.013,0,0.074,0,0.935,4.611
Swiss_Italian,0,1.69,1.373333333,1.256666667,0,3.863333333,0,0,2.73,0,2.763333333,3.93,2.583333333,2.793333333,7.606666667,17.78,0,24.52333333,0,1.77,0.07,6.03,2.083333333,9.85,0,0,0,0,0,0,0,0,0,0,0,7.3
IT_Sardinia,0,0.82,0.651666667,4.173333333,0,0,0,0,0.648333333,0,0,7.761666667,0.008333333,0,1.528333333,21.90166667,0,23.00666667,0,2.073333333,2.586666667,0.108333333,0,0,0,0,0,0,0,0,0,0,0,0,0,34.70666667
FR_Corsica,0,1.186666667,3.01,3,0,1.563333333,0,0,3.04,0,0,11.75,0.646666667,0,3.99,16.81,0,23.89,0,6.22,1.17,2.453333333,0,8.023333333,0,0.066666667,0,0,0,0,0,0,0,0,2.606666667,10.56333333
Waloon,0.02,0.027142857,0.067142857,1.551428571,0,7.482857143,0,0,2.535714286,0,4.794285714,1.25,3.478571429,8.774285714,6.914285714,15.43,0,14.44857143,0,0.277142857,0.025714286,12.71857143,1.861428571,16.84714286,0,0,0,0,0,0,0.298571429,0,0.134285714,0,0.328571429,0.734285714
Portugal,0.077,1.3445,0.5465,4.2425,0.108,3.763,0.22,0,1.9725,0.0155,1.962,2.511,0.5885,2.701,6.8115,25.3485,0,15.6605,0.0085,2.944,5.0905,7.4715,0.1685,8.2705,0.5365,0.117,0.182,0.0855,0.009,0.0525,0,0.0185,0.343,0.203,0.128,6.4885
Spain_Canarians,0.041428571,1.26,0.198571429,3.935714286,0.292857143,5.551428571,0.242857143,0.011428571,2.765714286,0,4.547142857,3.937142857,3.842857143,2.558571429,3.932857143,23.4,0,12.07285714,0,3.051428571,5.968571429,6.79,0,7.641428571,1.964285714,0.145714286,0.032857143,0.024285714,0,0.078571429,0,0,0.088571429,0.73,0.104285714,4.752857143
Spain_Centabria,0.106666667,0.046666667,0.313333333,8.05,0,2.173333333,0,0,1.64,0,2.103333333,0.183333333,0.646666667,2.88,6.176666667,35.58,0,12.51666667,0,0,2.71,9.606666667,0,6.636666667,0,0,0,0.066666667,0,0,0,0,0.79,0.026666667,0,7.746666667
Spain_average,0.08173913,1.273043478,0.632173913,6.845652174,0.033478261,3.422608696,0,0,1.96826087,0.010869565,2.81826087,2.004347826,1.100869565,2.354347826,5.111304348,30.38043478,0,14.35608696,0,2.051304348,3.365217391,7.086521739,0.293478261,7.381304348,0.143478261,0.066521739,0.11,0.035652174,0,0.039130435,0.054782609,0,0.064347826,0.04,0.544347826,6.319565217
Spain_Catalan,0.081333333,0.804666667,0.467333333,8.856666667,0,3.074666667,0.099333333,0,2.128666667,0,1.994,2.017333333,0.651333333,1.962,6.518,29.31,0,15.28133333,0,1.081333333,1.292666667,8.336666667,0.526666667,8.307333333,0.026,0.009333333,0,0.015333333,0,0.102,0,0,0.112666667,0,0.156,6.782666667
Spain_Galicia,0,0.606666667,0.953333333,6.556666667,0,2.92,0,0,1.873333333,0,3.113333333,2.193333333,3,1.746666667,4.55,28.59666667,0,16.35333333,0,0.873333333,3.693333333,7.11,0,7.36,0.593333333,0.043333333,0.303333333,0,0.05,0,0.656666667,0,0.256666667,0,0.156666667,6.423333333
Spain_Valencia,0.1125,1.07875,0.1175,7.27,0,5.25,0,0.05,1.94375,0,2.04625,1.69125,1.155,1.6575,6.71,30.02125,0,16.01125,0,0.7975,1.65375,7.14625,0,6.95375,0.12,0.07125,0,0,0,0,0,0.04,0.4175,0,0.52125,7.15875
Spain_Andalusia,0,0.706666667,0.39,7.788333333,0,3.101666667,0,0,1.456666667,0,3.111666667,1.735,1.355,1.816666667,5.008333333,29.33333333,0,14.98166667,0,2.756666667,3.523333333,8.761666667,0,6.718333333,0,0.051666667,0.081666667,0,0,0,0,0,0.368333333,0,0.811666667,6.133333333
Spain_Aragon,0,0.227142857,0.637142857,11.12285714,0,3.032857143,0,0,2.38,0.027142857,2.755714286,0.714285714,1.751428571,0.258571429,4.96,31.95285714,0,13.70571429,0,2.347142857,0.898571429,8.507142857,0,7.287142857,0,0,0,0,0,0.08,0,0,0.101428571,0,0.15,7.094285714
Asturia,0,1.59,0.64,6.595,0,4.345,0,0,1.41,0,2.145,2.475,0.795,2.945,7.465,30.89,0,14.93,0,0.96,3.325,8.54,0,4.94,0,0,0,0,0,0,0,0,0,0,0,6.02
Spanish_Basque,0,0,0,35.13777778,0,0.68,0,0,0.743333333,0,0.552222222,0,0.18,1.258888889,3.531111111,37.90777778,0,4.616666667,0,0,0,4.856666667,0,5.372222222,0,0.053333333,0,0,0,0,0,0,0.037777778,0,0,5.071111111
French_Basque,0,0,0,33.445,0,0,0,0,0.185,0,0.095,0,0.535,1.815,3.865,40.745,0,4.09,0,0,0,5.8,0,5.52,0,0,0,0,0,0,0,0,0,0,0,3.905
Romania_Central,0,0.635,3.44,1.115,0,6.3,0,0.4,7.775,0,12.02,8.895,8.465,6.845,1.945,9.315,0,8.875,0,1.265,0,4.09,0.125,8.625,0,0.08,0,0,0,1.65,1.795,0,2.32,0,1.88,2.115
Romania_NW,0,0,2.2,1.75,0,5.993333333,0,0,10.35333333,0,9.306666667,8.436666667,9.163333333,6.496666667,4.816666667,9.87,0,12.64666667,0,3.403333333,0,5.073333333,3.443333333,3.603333333,0,0,0.026666667,0.036666667,0,0,0.1,0,1.016666667,0,0.436666667,1.78
NE_Romania,0,0.5775,2.5825,0.9075,0.0225,6.86375,0,0.25,7.2425,0,13.655,5.89125,9.84625,5.375,2.34625,9.80125,0.07125,12.9925,0.02375,1.1625,0.2675,4.075,3.445,6.12375,0.06,0,0,0,0,0,0.41375,0,1.6775,0,2.3825,1.94125
Romania_SW,0.0125,0.2575,4.0425,1.7,0,6.7925,0,0,9.45,0.1975,13.735,7.1525,7.0775,6.075,2.1925,5.3225,0.26,14.905,0,1.175,0,3.6225,4.215,5.9975,0,0.1475,0,0,0,0.055,0,0,1.0425,0,0.83,3.7225
South_Romania,0.1555,1.4295,2.395,1.517,0,5.0265,0,0.0335,8.4055,0.0185,10.506,7.688,7.072,3.7655,3.447,6.678,0,15.655,0.0415,4.498,0.08,3.3375,5.326,4.0455,0.023,0.044,0.008,0,0.036,0.471,0.7245,0.0255,0.859,0,2.9305,3.755
Romania_SE,0.1375,0.389375,3.25125,1.195,0,5.208125,0,0.06,7.29375,0.04375,11.888125,6.675625,8.19125,5.58625,3.185,8.525,0,14.83375,0.004375,3.76125,0.138125,3.48875,4.104375,4.544375,0,0.045625,0,0,0.0425,0.221875,0.65125,0,0.82,0,2.0225,3.675
Macedonia_FYROM,0,0.6683,3.1617,1.6333,0,6.7067,0,0,8.175,0,9.17,7.8933,7.13,3.3117,3.6383,7.725,0,15.8667,0,5.36,0.58,3.5317,2.84,5.95,0,0,0,0,0,0,0.1283,0,0.1633,0,2.8133,3.5483
Bulgaria,0.028125,1.291875,3.056875,0.815625,0,6.30875,0,0,8.0459375,0,10.73375,8.4403125,7.7125,3.043125,2.504375,8.2775,0,17.3278125,0,4.6803125,0.109375,2.55,5.460625,2.701875,0,0.1578125,0,0,0.006875,0.063125,0.23125,0,0.78625,0,2.0984375,3.55875
Albania_North,0,0.926,4.1975,1.2325,0,4.4945,0,0,10.1075,0,6.119,11.6925,2.6295,1.112,3.4875,10.02,0,21.8035,0,4.5225,0.28,2.9735,2.566,3.445,0,0.037,0.0095,0,0,0,0,0,0.1515,0,2.2505,5.9325
Albania_South,0,0.706111111,4.090555556,1.177777778,0.015555556,3.721666667,0,0,10.30055556,0,4.791666667,12.69166667,1.66,0.569444444,3.137222222,9.818888889,0,23.42944444,0,6.166111111,0.318888889,1.807777778,3.182777778,4.301666667,0.058333333,0,0,0.049444444,0.007777778,0,0,0,0.355,0,2.117222222,5.518333333
Albania_FYROM,0,0.7,3.736,0.798,0,5.372,0,0,11.186,0,5.57,10.786,3.818,1.176,2.396,9.124,0,23.338,0,5.7,0.506,3.366,2.87,3.268,0,0,0,0,0,0,0,0,0.456,0,1.566,4.264
Albania_Montenegro,0,0.636,2.603,0.598,0,5.098,0,0,9.352,0,6.978,10.599,4.557,1.972,3.828,9.594,0,19.941,0,3.154,0.448,3.867,2.685,5.083,0,0,0,0,0,0,0,0,0.57,0,3.029,5.395
Kosovo,0,0.457037037,4.082592593,1.298148148,0,4.901111111,0,0,10.23481481,0,6.992592593,11.03703704,3.247777778,1.4,3.398518519,10.55037037,0.00962963,21.26925926,0,2.801851852,0.237407407,2.484444444,2.681111111,4.717037037,0,0.013703704,0,0,0.007037037,0.015925926,0,0.012962963,0.226666667,0,2.63,5.283703704
Serbian,0.0154,0.5051,2.4417,1.4322,0.0024,6.5361,0,0,8.8546,0,13.0102,4.7078,8.898,4.3817,3.2927,8.4339,0,16.2683,0,1.9098,0.1239,3.8771,4.0544,5.5978,0,0.0044,0,0,0,0.0278,0.0017,0.0015,0.6215,0,1.6293,3.3649
West_Serbian,0,0.4993,1.7904,0.9509,0,6.4349,0,0,8.8773,0,14.403,5.0491,8.8384,5.5427,3.3589,8.2979,0,14.7809,0.0013,1.7624,0.1324,4.1171,3.5141,6.2823,0,0.0231,0,0.0041,0,0.0176,0.0646,0,0.7061,0,1.3984,3.1483
Bosnian,0,0.597,1.908,1.008,0,5.658,0,0,8.565,0,12.762,5.27,7.692,4.875,3.757,9.922,0,17.287,0,1.613,0.182,3.687,5.265,5.033,0,0,0,0,0,0,0.028,0,0.875,0,1.285,2.717
Croatian,0,0.2572,1.7996,1.3316,0,7.7576,0,0,8.266,0,15.4116,3.526,9.8808,6.9192,3.6656,8.0536,0,13.6412,0,0.9036,0.1632,4.2508,2.392,7.2676,0,0.0092,0,0,0,0,0.1092,0,0.8128,0,1.1176,2.4568
